Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
POPSApp_DailySmoke,Chrome 89.0.4389.90,,,2021-03-30 09:26:48,2021-03-30 09:31:50,5m - 1.825s,PASSED
,,,,,,,
Test Cases/VideoPlayer/VerifyNextVideoByClickingButton,Chrome 89.0.4389.90,,,2021-03-30 09:26:49,2021-03-30 09:27:46,57.172s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 89.0.4389.90,,,2021-03-30 09:26:49,2021-03-30 09:26:49,0.006s,PASSED
openBrowser(SourceURL),Chrome 89.0.4389.90,,,2021-03-30 09:26:49,2021-03-30 09:26:52,3.160s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-30 09:26:52,2021-03-30 09:26:52,0.127s,PASSED
"click(findTestObject(""SearchPageUI/TEXTBOX_SEARCH""))",Chrome 89.0.4389.90,,,2021-03-30 09:26:52,2021-03-30 09:26:54,2.011s,PASSED
"commonActions.SearchActions.verifyComicSuggest(findTestObject(""SearchPageUI/COMIC_ITEMS""))",Chrome 89.0.4389.90,,,2021-03-30 09:26:54,2021-03-30 09:26:56,1.385s,PASSED
"commonActions.SearchActions.verifyVideoSuggest(findTestObject(""SearchPageUI/VIDEO_ITEMS""))",Chrome 89.0.4389.90,,,2021-03-30 09:26:56,2021-03-30 09:26:57,1.719s,PASSED
"commonActions.SearchActions.searchAnyVideo(findTestObject(""SearchPageUI/TEXTBOX_SEARCH""), ""conan"")",Chrome 89.0.4389.90,,,2021-03-30 09:26:57,2021-03-30 09:27:02,4.394s,PASSED
"waitForElementPresent(findTestObject(""SearchPageUI/RESULT_ELEMENTS""), 1)",Chrome 89.0.4389.90,,,2021-03-30 09:27:02,2021-03-30 09:27:02,0.253s,PASSED
"commonActions.BaseActions.clickFirstElement(findTestObject(""SearchPageUI/RESULT_ELEMENTS""), 0)",Chrome 89.0.4389.90,,,2021-03-30 09:27:02,2021-03-30 09:27:02,0.319s,PASSED
"commonActions.BaseActions.clickFirstElement(findTestObject(""SearchPageUI/LIST_TITLE_RESULT""), 0)",Chrome 89.0.4389.90,,,2021-03-30 09:27:02,2021-03-30 09:27:03,0.995s,PASSED
"commonActions.VideoPlayer.nextVideoByClicking(findTestObject(""VideoDetailPageUI/video_frame""))",Chrome 89.0.4389.90,,,2021-03-30 09:27:03,2021-03-30 09:27:45,41.966s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2021-03-30 09:27:45,2021-03-30 09:27:46,0.662s,PASSED
Start listener action : sampleAfterTestCase,Chrome 89.0.4389.90,,,2021-03-30 09:27:46,2021-03-30 09:27:46,0.004s,PASSED
,,,,,,,
Test Cases/VideoPlayer/VerifyVideoCanPlay,Chrome 89.0.4389.90,,,2021-03-30 09:27:46,2021-03-30 09:28:30,43.781s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 89.0.4389.90,,,2021-03-30 09:27:46,2021-03-30 09:27:46,0.000s,PASSED
openBrowser(SourceURL),Chrome 89.0.4389.90,,,2021-03-30 09:27:46,2021-03-30 09:27:49,2.605s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-30 09:27:49,2021-03-30 09:27:49,0.117s,PASSED
"click(findTestObject(""SearchPageUI/TEXTBOX_SEARCH""))",Chrome 89.0.4389.90,,,2021-03-30 09:27:49,2021-03-30 09:27:51,2.330s,PASSED
"commonActions.SearchActions.verifyComicSuggest(findTestObject(""SearchPageUI/COMIC_ITEMS""))",Chrome 89.0.4389.90,,,2021-03-30 09:27:51,2021-03-30 09:27:53,1.506s,PASSED
"commonActions.SearchActions.verifyVideoSuggest(findTestObject(""SearchPageUI/VIDEO_ITEMS""))",Chrome 89.0.4389.90,,,2021-03-30 09:27:53,2021-03-30 09:27:54,1.548s,PASSED
"commonActions.SearchActions.searchAnyVideo(findTestObject(""SearchPageUI/TEXTBOX_SEARCH""), ""conan"")",Chrome 89.0.4389.90,,,2021-03-30 09:27:54,2021-03-30 09:27:59,4.433s,PASSED
"commonActions.BaseActions.clickFirstElement(findTestObject(""SearchPageUI/RESULT_ELEMENTS""), 0)",Chrome 89.0.4389.90,,,2021-03-30 09:27:59,2021-03-30 09:27:59,0.324s,PASSED
"commonActions.BaseActions.clickFirstElement(findTestObject(""SearchPageUI/LIST_TITLE_RESULT""), 0)",Chrome 89.0.4389.90,,,2021-03-30 09:27:59,2021-03-30 09:28:00,0.882s,PASSED
commonActions.VideoPlayer.verifyPlayer(25),Chrome 89.0.4389.90,,,2021-03-30 09:28:00,2021-03-30 09:28:29,29.206s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2021-03-30 09:28:29,2021-03-30 09:28:30,0.665s,PASSED
Start listener action : sampleAfterTestCase,Chrome 89.0.4389.90,,,2021-03-30 09:28:30,2021-03-30 09:28:30,0.001s,PASSED
,,,,,,,
Test Cases/UnlockComic/VerifyUnlockComic,Chrome 89.0.4389.90,,,2021-03-30 09:28:30,2021-03-30 09:28:57,27.092s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 89.0.4389.90,,,2021-03-30 09:28:30,2021-03-30 09:28:30,0.004s,PASSED
openBrowser(SourceURL),Chrome 89.0.4389.90,,,2021-03-30 09:28:30,2021-03-30 09:28:32,2.557s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-30 09:28:32,2021-03-30 09:28:32,0.117s,PASSED
"commonActions.SignInActions.SignInWithValidAccount(""huy.thanh@pops.vn"", ""12345678"")",Chrome 89.0.4389.90,,,2021-03-30 09:28:32,2021-03-30 09:28:42,9.627s,PASSED
"commonActions.SearchActions.searchAnyComic(findTestObject(""SearchPageUI/TEXTBOX_SEARCH""), APICMS.getComicNameCanUnlock())",Chrome 89.0.4389.90,,,2021-03-30 09:28:42,2021-03-30 09:28:53,11.235s,PASSED
"commonActions.BaseActions.clickFirstElement(findTestObject(""SearchPageUI/COMIC_RESULT_ITEMS""), 0)",Chrome 89.0.4389.90,,,2021-03-30 09:28:53,2021-03-30 09:28:54,0.317s,PASSED
"click(findTestObject(""ComicPageUI/COMICDETAILPAGEUI/BUTTON_SORT""))",Chrome 89.0.4389.90,,,2021-03-30 09:28:54,2021-03-30 09:28:55,1.601s,PASSED
"commonActions.BaseActions.clickFirstElement(findTestObject(""ComicPageUI/COMICDETAILPAGEUI/BUTTON_STAR_ICON""), 0)",Chrome 89.0.4389.90,,,2021-03-30 09:28:55,2021-03-30 09:28:56,0.806s,PASSED
"click(findTestObject(""ComicPageUI/COMICDETAILPAGEUI/BUTTON_BUY_NOW""))",Chrome 89.0.4389.90,,,2021-03-30 09:28:56,2021-03-30 09:28:57,0.665s,PASSED
Start listener action : sampleAfterTestCase,Chrome 89.0.4389.90,,,2021-03-30 09:28:57,2021-03-30 09:28:57,0.001s,PASSED
,,,,,,,
Test Cases/Search/VerifySearchData,Chrome 89.0.4389.90,,,2021-03-30 09:28:57,2021-03-30 09:29:05,8.748s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 89.0.4389.90,,,2021-03-30 09:28:57,2021-03-30 09:28:57,0.001s,PASSED
openBrowser(SourceURL),Chrome 89.0.4389.90,,,2021-03-30 09:28:57,2021-03-30 09:29:00,3.137s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-30 09:29:00,2021-03-30 09:29:00,0.116s,PASSED
"click(findTestObject(""SearchPageUI/TEXTBOX_SEARCH""))",Chrome 89.0.4389.90,,,2021-03-30 09:29:00,2021-03-30 09:29:02,2.042s,PASSED
"commonActions.SearchActions.verifyComicSuggest(findTestObject(""SearchPageUI/COMIC_ITEMS""))",Chrome 89.0.4389.90,,,2021-03-30 09:29:02,2021-03-30 09:29:03,1.311s,PASSED
"commonActions.SearchActions.verifyVideoSuggest(findTestObject(""SearchPageUI/VIDEO_ITEMS""))",Chrome 89.0.4389.90,,,2021-03-30 09:29:03,2021-03-30 09:29:05,1.360s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2021-03-30 09:29:05,2021-03-30 09:29:05,0.633s,PASSED
Start listener action : sampleAfterTestCase,Chrome 89.0.4389.90,,,2021-03-30 09:29:05,2021-03-30 09:29:05,0.002s,PASSED
,,,,,,,
Test Cases/Search/VerifySearchSugguest,Chrome 89.0.4389.90,,,2021-03-30 09:29:05,2021-03-30 09:29:14,8.563s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 89.0.4389.90,,,2021-03-30 09:29:05,2021-03-30 09:29:05,0.000s,PASSED
openBrowser(SourceURL),Chrome 89.0.4389.90,,,2021-03-30 09:29:06,2021-03-30 09:29:08,2.485s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-30 09:29:08,2021-03-30 09:29:08,0.116s,PASSED
"click(findTestObject(""SearchPageUI/TEXTBOX_SEARCH""))",Chrome 89.0.4389.90,,,2021-03-30 09:29:08,2021-03-30 09:29:10,2.114s,PASSED
"commonActions.SearchActions.verifyComicSuggest(findTestObject(""SearchPageUI/COMIC_ITEMS""))",Chrome 89.0.4389.90,,,2021-03-30 09:29:10,2021-03-30 09:29:12,1.517s,PASSED
"commonActions.SearchActions.verifyVideoSuggest(findTestObject(""SearchPageUI/VIDEO_ITEMS""))",Chrome 89.0.4389.90,,,2021-03-30 09:29:12,2021-03-30 09:29:13,1.574s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2021-03-30 09:29:13,2021-03-30 09:29:14,0.621s,PASSED
Start listener action : sampleAfterTestCase,Chrome 89.0.4389.90,,,2021-03-30 09:29:14,2021-03-30 09:29:14,0.000s,PASSED
,,,,,,,
Test Cases/Clickable/VerifyClickingOnGenre,Chrome 89.0.4389.90,,,2021-03-30 09:29:14,2021-03-30 09:29:24,9.649s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 89.0.4389.90,,,2021-03-30 09:29:14,2021-03-30 09:29:14,0.000s,PASSED
openBrowser(SourceURL),Chrome 89.0.4389.90,,,2021-03-30 09:29:14,2021-03-30 09:29:17,2.513s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-30 09:29:17,2021-03-30 09:29:17,0.117s,PASSED
"commonActions.ClickableActions.clickingOnGenre(findTestObject(""Object Repository/VideoDetailPageUI/TEXT_LINK_GENER""))",Chrome 89.0.4389.90,,,2021-03-30 09:29:17,2021-03-30 09:29:23,6.253s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2021-03-30 09:29:23,2021-03-30 09:29:24,0.639s,PASSED
Start listener action : sampleAfterTestCase,Chrome 89.0.4389.90,,,2021-03-30 09:29:24,2021-03-30 09:29:24,0.000s,PASSED
,,,,,,,
Test Cases/Clickable/VerifyRankingcheckOnComicPage,Chrome 89.0.4389.90,,,2021-03-30 09:29:24,2021-03-30 09:29:53,29.273s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 89.0.4389.90,,,2021-03-30 09:29:24,2021-03-30 09:29:24,0.000s,PASSED
openBrowser(SourceURL),Chrome 89.0.4389.90,,,2021-03-30 09:29:24,2021-03-30 09:29:28,4.154s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-30 09:29:28,2021-03-30 09:29:28,0.136s,PASSED
commonActions.PageActions.openComicPage(),Chrome 89.0.4389.90,,,2021-03-30 09:29:28,2021-03-30 09:29:29,1.375s,PASSED
commonActions.BaseActions.ScrollToFooter(),Chrome 89.0.4389.90,,,2021-03-30 09:29:29,2021-03-30 09:29:53,23.209s,PASSED
"commonActions.Comics.CheckComicRankingDisplay20Items(findTestObject(""ComicPageUI/COMIC_RANKING_SECTION""))",Chrome 89.0.4389.90,,,2021-03-30 09:29:53,2021-03-30 09:29:53,0.274s,PASSED
Start listener action : sampleAfterTestCase,Chrome 89.0.4389.90,,,2021-03-30 09:29:53,2021-03-30 09:29:53,0.000s,PASSED
,,,,,,,
Test Cases/AddToMyList/VerifyClickOnAddToMyList,Chrome 89.0.4389.90,,,2021-03-30 09:29:53,2021-03-30 09:30:29,36.456s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 89.0.4389.90,,,2021-03-30 09:29:53,2021-03-30 09:29:53,0.000s,PASSED
openBrowser(SourceURL),Chrome 89.0.4389.90,,,2021-03-30 09:29:53,2021-03-30 09:29:56,3.155s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-30 09:29:56,2021-03-30 09:29:56,0.116s,PASSED
commonActions.PageActions.openVideoPage(),Chrome 89.0.4389.90,,,2021-03-30 09:29:56,2021-03-30 09:30:04,7.703s,PASSED
commonActions.ClickableActions.addToMyList(),Chrome 89.0.4389.90,,,2021-03-30 09:30:04,2021-03-30 09:30:28,24.442s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2021-03-30 09:30:28,2021-03-30 09:30:29,0.912s,PASSED
Start listener action : sampleAfterTestCase,Chrome 89.0.4389.90,,,2021-03-30 09:30:29,2021-03-30 09:30:29,0.000s,PASSED
,,,,,,,
Test Cases/AddToMyList/VerifyMyListShowValidData,Chrome 89.0.4389.90,,,2021-03-30 09:30:29,2021-03-30 09:31:05,35.728s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 89.0.4389.90,,,2021-03-30 09:30:29,2021-03-30 09:30:29,0.000s,PASSED
openBrowser(SourceURL),Chrome 89.0.4389.90,,,2021-03-30 09:30:30,2021-03-30 09:30:32,2.732s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-30 09:30:32,2021-03-30 09:30:32,0.123s,PASSED
commonActions.PageActions.openVideoPage(),Chrome 89.0.4389.90,,,2021-03-30 09:30:32,2021-03-30 09:30:40,8.047s,PASSED
commonActions.ClickableActions.addToMyList(),Chrome 89.0.4389.90,,,2021-03-30 09:30:40,2021-03-30 09:31:04,24.018s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2021-03-30 09:31:04,2021-03-30 09:31:05,0.676s,PASSED
Start listener action : sampleAfterTestCase,Chrome 89.0.4389.90,,,2021-03-30 09:31:05,2021-03-30 09:31:05,0.001s,PASSED
,,,,,,,
Test Cases/Component/VerifyAlbumDisplayed,Chrome 89.0.4389.90,,,2021-03-30 09:31:05,2021-03-30 09:31:26,20.467s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 89.0.4389.90,,,2021-03-30 09:31:05,2021-03-30 09:31:05,0.000s,PASSED
openBrowser(SourceURL),Chrome 89.0.4389.90,,,2021-03-30 09:31:05,2021-03-30 09:31:08,2.697s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-30 09:31:08,2021-03-30 09:31:08,0.187s,PASSED
commonActions.APIs.anonymousLogin(),Chrome 89.0.4389.90,,,2021-03-30 09:31:08,2021-03-30 09:31:08,0.235s,PASSED
commonActions.BaseActions.ScrollToFooter(),Chrome 89.0.4389.90,,,2021-03-30 09:31:08,2021-03-30 09:31:23,14.852s,PASSED
"commonActions.PageActions.checkAlbumItemsCanClickable(findTestObject(""Object Repository/POPS App UI/HomePageUI/ALBUM_PART""))",Chrome 89.0.4389.90,,,2021-03-30 09:31:23,2021-03-30 09:31:24,0.629s,PASSED
"commonActions.PageActions.checkBrokenImages(findTestObject(""Object Repository/CommonUI/IMG_THUMNAIL""), ""src"")",Chrome 89.0.4389.90,,,2021-03-30 09:31:24,2021-03-30 09:31:26,1.743s,PASSED
Start listener action : sampleAfterTestCase,Chrome 89.0.4389.90,,,2021-03-30 09:31:26,2021-03-30 09:31:26,0.000s,PASSED
,,,,,,,
